주성분코드_9,ATC코드,주성분명,주성분코드_5
100901ACH,M01AB16,aceclofenac,1009A
100901ACS,M01AB16,aceclofenac,1009A
100901ATB,M01AB16,aceclofenac,1009A
100903ATR,M01AB16,aceclofenac,1009A
101332ASY,N02BE01,paracetamol,1013A
101330ASS,N02BE01,paracetamol,1013A
101303ATB,N02BE01,paracetamol,1013A
101305ATB,N02BE01,paracetamol,1013A
101401ATB,N02BE01,paracetamol,1014A
101404ATB,N02BE01,paracetamol,1014A
101404ATR,N02BE01,paracetamol,1014A
101406ATB,N02BE01,paracetamol,1014A
101430ATR,N02BE01,paracetamol,1014A
110702ATB,N02BA01,acetylsalicylic acid,1107A
142331ASY,M01AE14,dexibuprofen,1423A
142332ASY,M01AE14,dexibuprofen,1423A
142333ASY,M01AE14,dexibuprofen,1423A
142334ASY,M01AE14,dexibuprofen,1423A
142336ASY,M01AE14,dexibuprofen,1423A
142337ASY,M01AE14,dexibuprofen,1423A
142301ACS,M01AE14,dexibuprofen,1423A
142301ATB,M01AE14,dexibuprofen,1423A
142301ATR,M01AE14,dexibuprofen,1423A
142302ATB,M01AE14,dexibuprofen,1423A
142303ATB,M01AE14,dexibuprofen,1423A
143504ATB,M01AB05,diclofenac,1435A
143506ATB,M01AB05,diclofenac,1435A
156602ACH,M01AB08,etodolac,1566A
156602ATB,M01AB08,etodolac,1566A
156603ATB,M01AB08,etodolac,1566A
156603ATR,M01AB08,etodolac,1566A
156604ATR,M01AB08,etodolac,1566A
172833ASY,M01AE01,ibuprofen,1728A
172834ASY,M01AE01,ibuprofen,1728A
172835ASY,M01AE01,ibuprofen,1728A
172836ASY,M01AE01,ibuprofen,1728A
172837ASY,M01AE01,ibuprofen,1728A
172838ASY,M01AE01,ibuprofen,1728A
172802ACS,M01AE01,ibuprofen,1728A
172802ATB,M01AE01,ibuprofen,1728A
172806ATB,M01AE01,ibuprofen,1728A
172807ATR,M01AE01,ibuprofen,1728A
180001ATB,M01AB15,ketorolac,1800A
186101ATB,M01AE,Propionic acid derivatives,1861A
186102ATR,M01AE,Propionic acid derivatives,1861A
189701ACH,M01AC06,meloxicam,1897A
189701ATB,M01AC06,meloxicam,1897A
189701ATD,M01AC06,meloxicam,1897A
189702ACH,M01AC06,meloxicam,1897A
198102ATB,M01AX01,nabumetone,1981A
199401ATR,M01AE02,naproxen,1994A
199404ATB,M01AE02,naproxen,1994A
199501ATB,M01AE02,naproxen,1995A
201801ATB,M01AX17,nimesulide,2018A
214001ACH,M01AC01,piroxicam,2140A
214001ATB,M01AC01,piroxicam,2140A
214004ACH,M01AC01,piroxicam,2140A
214004ATB,M01AC01,piroxicam,2140A
214202ATB,M01AC01,piroxicam,2142A
218602ATB,M01AB14,proglumetacin,2186A
233201ATB,M01AB02,sulindac,2332A
233802ATB,N02CC01,sumatriptan,2338A
233803ATB,N02CC01,sumatriptan,2338A
234401ATB,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids",2344A
242302ATR,N02AX02,tramadol,2423A
242304ATR,N02AX02,tramadol,2423A
242301ATR,N02AX02,tramadol,2423A
242305ACH,N02AX02,tramadol,2423A
242305ATB,N02AX02,tramadol,2423A
242308ATR,N02AX02,tramadol,2423A
249901ATB,M01AE,Propionic acid derivatives,2499A
251800ATB,N02CA52,"ergotamine, combinations excl. psycholeptics",2518A
347701ACH,M01AH01,celecoxib,3477A
347701ATB,M01AH01,celecoxib,3477A
347702ACH,M01AH01,celecoxib,3477A
347702ATB,M01AH01,celecoxib,3477A
347703ACH,M01AH01,celecoxib,3477A
348201ATB,M01CC02,bucillamine,3482A
415501ATB,N02CC02,naratriptan,4155A
415501ATD,N02CC02,naratriptan,4155A
415601ATB,N02CC03,zolmitriptan,4156A
416601ATB,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids",4166A
458402ATB,M01AX22,morniflumate,4584A
480600ATB,N02AJ13,tramadol and paracetamol,4806A
513000ATB,N02AJ13,tramadol and paracetamol,5130A
513000ATR,N02AJ13,tramadol and paracetamol,5130A
514100ATR,N02AJ13,tramadol and paracetamol,5141A
493401ATB,M01AE,Propionic acid derivatives,4934A
493402ATR,M01AE,Propionic acid derivatives,4934A
499401ATB,N02CC05,almotriptan,4994A
509501ATB,N02CC07,frovatriptan,5095A
516701ATB,M09AX,Other drugs for disorders of the musculo-skeletal system,5167A
518000ATB,M01AE52,naproxen and esomeprazole,5180A
523500ATB,M01AE52,naproxen and esomeprazole,5235A
527400ATB,M01AE52,naproxen and esomeprazole,5274A
618201ATB,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids",6182A
636401ACH,M01AH07,polmacoxib,6364A
636401ATB,M01AH07,polmacoxib,6364A
636901ATB,M01AH05,etoricoxib,6369A
697701ATB,M01AE,Propionic acid derivatives,6977A
713200ATR,M03BX,Other centrally acting agents,7132A
724600ATB,M01AH,Coxibs,7246A
193201ACR,N06BA04,methylphenidate,1932A
193201ATB,N06BA04,methylphenidate,1932A
193202ACR,N06BA04,methylphenidate,1932A
193202ATB,N06BA04,methylphenidate,1932A
193203ATR,N06BA04,methylphenidate,1932A
193204ATR,N06BA04,methylphenidate,1932A
193205ACR,N06BA04,methylphenidate,1932A
193206ATR,N06BA04,methylphenidate,1932A
193207ACR,N06BA04,methylphenidate,1932A
193208ACR,N06BA04,methylphenidate,1932A
193209ATR,N06BA04,methylphenidate,1932A
116301ATB,N07CA01,betahistine,1163A
550602ATB,N07CA01,betahistine,5506A
550603ATB,N07CA01,betahistine,5506A
105501ATB,N05BA12,alprazolam,1055A
105502ATB,N05BA12,alprazolam,1055A
105504ATB,N05BA12,alprazolam,1055A
105505ATB,N05BA12,alprazolam,1055A
105507ATB,N05BA12,alprazolam,1055A
107501ATB,N06AA09,amitriptyline,1075A
107502ATB,N06AA09,amitriptyline,1075A
107504ATB,N06AA09,amitriptyline,1075A
118501ATB,N05BA08,bromazepam,1185A
120501ATB,N05BE01,buspirone,1205A
120502ATB,N05BE01,buspirone,1205A
120503ATB,N05BE01,buspirone,1205A
131201ATB,N05BA02,chlordiazepoxide,1312A
131202ATB,N05BA02,chlordiazepoxide,1312A
131901ATB,N05AA01,chlorpromazine,1319A
131905ATB,N05AA01,chlorpromazine,1319A
131908ATB,N05AA01,chlorpromazine,1319A
135702ATB,N05BA09,clobazam,1357A
136301ACH,N06AA04,clomipramine,1363A
136302ACH,N06AA04,clomipramine,1363A
137501ATB,N05AH02,clozapine,1375A
137502ATB,N05AH02,clozapine,1375A
137503ATB,N05AH02,clozapine,1375A
137504ATB,N05AH02,clozapine,1375A
142901ATB,N05BA01,diazepam,1429A
142902ATB,N05BA01,diazepam,1429A
142903ATB,N05BA01,diazepam,1429A
156201ATB,N05BA18,ethyl loflazepate,1562A
156202ATB,N05BA18,ethyl loflazepate,1562A
156501ATB,N05BA19,etizolam,1565A
156502ATB,N05BA19,etizolam,1565A
156503ATB,N05BA19,etizolam,1565A
161501ACH,N06AB03,fluoxetine,1615A
161501ATB,N06AB03,fluoxetine,1615A
161502ACH,N06AB03,fluoxetine,1615A
161502ATB,N06AB03,fluoxetine,1615A
161502ATD,N06AB03,fluoxetine,1615A
167903ATB,N05AD01,haloperidol,1679A
167904ATB,N05AD01,haloperidol,1679A
167905ATB,N05AD01,haloperidol,1679A
167906ATB,N05AD01,haloperidol,1679A
167908ATB,N05AD01,haloperidol,1679A
172130ASY,N05BB01,hydroxyzine,1721A
172101ATB,N05BB01,hydroxyzine,1721A
173701ATB,N06AA02,imipramine,1737A
183301ATB,N05AA02,levomepromazine,1833A
183302ATB,N05AA02,levomepromazine,1833A
183303ATB,N05AA02,levomepromazine,1833A
184701ATB,N05AN01,lithium,1847A
184702ATB,N05AN01,lithium,1847A
185501ATB,N05BA06,lorazepam,1855A
185504ATB,N05BA06,lorazepam,1855A
196201ATB,N06AX11,mirtazapine,1962A
196201ATD,N06AX11,mirtazapine,1962A
196202ATB,N06AX11,mirtazapine,1962A
196202ATD,N06AX11,mirtazapine,1962A
196203ATB,N06AX11,mirtazapine,1962A
196204ATB,N06AX11,mirtazapine,1962A
196204ATD,N06AX11,mirtazapine,1962A
203401ATB,N06AA10,nortriptyline,2034A
203402ATB,N06AA10,nortriptyline,2034A
204001ATB,N05AH03,olanzapine,2040A
204001ATD,N05AH03,olanzapine,2040A
204002ATB,N05AH03,olanzapine,2040A
204002ATD,N05AH03,olanzapine,2040A
204004ATB,N05AH03,olanzapine,2040A
204005ATB,N05AH03,olanzapine,2040A
209301ATB,N06AB05,paroxetine,2093A
209302ATB,N06AB05,paroxetine,2093A
209304ATR,N06AB05,paroxetine,2093A
209305ATR,N06AB05,paroxetine,2093A
211401ATB,N05AB03,perphenazine,2114A
212402ATB,N05AG02,pimozide,2124A
224201ATB,N05AX08,risperidone,2242A
224201ATD,N05AX08,risperidone,2242A
224202ATB,N05AX08,risperidone,2242A
224202ATD,N05AX08,risperidone,2242A
224203ATB,N05AX08,risperidone,2242A
224204ATB,N05AX08,risperidone,2242A
227001ATB,N06AB06,sertraline,2270A
227002ATB,N06AB06,sertraline,2270A
227003ATB,N06AB06,sertraline,2270A
229601ATB,N06AX14,tianeptine,2296A
233401ATB,N05AL01,sulpiride,2334A
242901ACH,N06AX05,trazodone,2429A
242901ATB,N06AX05,trazodone,2429A
242902ATB,N06AX05,trazodone,2429A
242903ATR,N06AX05,trazodone,2429A
247502ACR,N06AX16,venlafaxine,2475A
247504ACR,N06AX16,venlafaxine,2475A
250801ATB,N05AX11,zotepine,2508A
250802ATB,N05AX11,zotepine,2508A
250803ATB,N05AX11,zotepine,2508A
255800ATB,A03CA02,clidinium and psycholeptics,2558A
355801ACH,N06AX17,milnacipran,3558A
355802ACH,N06AX17,milnacipran,3558A
355803ACH,N06AX17,milnacipran,3558A
378601ATB,N05AH04,quetiapine,3786A
378602ATB,N05AH04,quetiapine,3786A
378603ATB,N05AH04,quetiapine,3786A
378604ATB,N05AH04,quetiapine,3786A
378605ATB,N05AH04,quetiapine,3786A
378605ATR,N05AH04,quetiapine,3786A
378606ATR,N05AH04,quetiapine,3786A
378607ATR,N05AH04,quetiapine,3786A
378608ATR,N05AH04,quetiapine,3786A
378609ATR,N05AH04,quetiapine,3786A
378610ATB,N05AH04,quetiapine,3786A
420002ATB,N05AL05,amisulpride,4200A
420003ATB,N05AL05,amisulpride,4200A
420004ATB,N05AL05,amisulpride,4200A
428101ATB,N06AX12,bupropion,4281A
428102ATR,N06AX12,bupropion,4281A
428103ATR,N06AX12,bupropion,4281A
451501ATB,N05AX12,aripiprazole,4515A
451501ATD,N05AX12,aripiprazole,4515A
451502ATB,N05AX12,aripiprazole,4515A
451502ATD,N05AX12,aripiprazole,4515A
451503ATB,N05AX12,aripiprazole,4515A
451504ATB,N05AX12,aripiprazole,4515A
451505ATB,N05AX12,aripiprazole,4515A
451508ATB,N05AX12,aripiprazole,4515A
464901ACH,N05AE04,ziprasidone,4649A
464902ACH,N05AE04,ziprasidone,4649A
464903ACH,N05AE04,ziprasidone,4649A
464904ACH,N05AE04,ziprasidone,4649A
474801ATB,N06AB10,escitalopram,4748A
474801ATD,N06AB10,escitalopram,4748A
474802ATB,N06AB10,escitalopram,4748A
474802ATD,N06AB10,escitalopram,4748A
474803ATB,N06AB10,escitalopram,4748A
474803ATD,N06AB10,escitalopram,4748A
474804ATB,N06AB10,escitalopram,4748A
495501ACE,N06AX21,duloxetine,4955A
495502ACE,N06AX21,duloxetine,4955A
503201ATR,N05AX13,paliperidone,5032A
503202ATR,N05AX13,paliperidone,5032A
503203ATR,N05AX13,paliperidone,5032A
511301ATB,N05AX,Other antipsychotics,5113A
511302ATB,N05AX,Other antipsychotics,5113A
511303ATB,N05AX,Other antipsychotics,5113A
613101ATB,N06AX22,agomelatine,6131A
626401ATR,N06AX23,desvenlafaxine,6264A
626402ATR,N06AX23,desvenlafaxine,6264A
687601ATR,N06AX23,desvenlafaxine,6876A
687602ATR,N06AX23,desvenlafaxine,6876A
687701ATR,N06AX23,desvenlafaxine,6877A
687702ATR,N06AX23,desvenlafaxine,6877A
628501ATB,N06AX26,vortioxetine,6285A
628502ATB,N06AX26,vortioxetine,6285A
628504ATB,N06AX26,vortioxetine,6285A
687703ATR,N06AX23,desvenlafaxine,6877A
100501ATE,N07BB03,acamprosate,1005A
104101ATB,M03BX,Other centrally acting agents,1041A
106201ATB,N04BB01,amantadine,1062A
116001ATB,N04AC01,benzatropine,1160A
116002ATB,N04AC01,benzatropine,1160A
134801ATB,L04AA40,cladribine,1348A
136505ATR,C02AC01,clonidine,1365A
138103ASY,N07AX02,choline alfoscerate,1381A
138104ASY,N07AX02,choline alfoscerate,1381A
138101ACH,N07AX02,choline alfoscerate,1381A
138101ACS,N07AX02,choline alfoscerate,1381A
138101APD,N07AX02,choline alfoscerate,1381A
138101ATB,N07AX02,choline alfoscerate,1381A
148630ALQ,N06DA02,donepezil,1486A
148631ALQ,N06DA02,donepezil,1486A
148601APD,N06DA02,donepezil,1486A
148601ATB,N06DA02,donepezil,1486A
148601ATD,N06DA02,donepezil,1486A
148602APD,N06DA02,donepezil,1486A
148602ATB,N06DA02,donepezil,1486A
148602ATD,N06DA02,donepezil,1486A
148603ATB,N06DA02,donepezil,1486A
148604ATB,N06DA02,donepezil,1486A
164202ATR,N02BF01,gabapentin,1642A
164204ATR,N02BF01,gabapentin,1642A
172601ATB,N06AX25,Hyperici herba,1726A
190031ALQ,N06DX01,memantine,1900A
190001ATB,N06DX01,memantine,1900A
190003ATD,N06DX01,memantine,1900A
190004ATB,N06DX01,memantine,1900A
190004ATD,N06DX01,memantine,1900A
190005ATB,N06DX01,memantine,1900A
190006ATD,N06DX01,memantine,1900A
205303ATB,N04AB02,orphenadrine (chloride),2053A
218401ATB,N04AA04,procyclidine,2184A
224030ASS,N07XX02,riluzole,2240A
224001ATB,N07XX02,riluzole,2240A
224501ACH,N06DA03,rivastigmine,2245A
224503ACH,N06DA03,rivastigmine,2245A
224504ACH,N06DA03,rivastigmine,2245A
224505ACH,N06DA03,rivastigmine,2245A
224901ATB,N04BC04,ropinirole,2249A
224902ATB,N04BC04,ropinirole,2249A
224902ATR,N04BC04,ropinirole,2249A
224903ATB,N04BC04,ropinirole,2249A
224904ATB,N04BC04,ropinirole,2249A
224905ATR,N04BC04,ropinirole,2249A
224906ATR,N04BC04,ropinirole,2249A
226401ATB,N04BD01,selegiline,2264A
244201ATB,N04AA01,trihexyphenidyl,2442A
256000ACR,N04BA02,levodopa and decarboxylase inhibitor,2560A
256000ATB,N04BA02,levodopa and decarboxylase inhibitor,2560A
256000ATD,N04BA02,levodopa and decarboxylase inhibitor,2560A
256200ATB,N04BA02,levodopa and decarboxylase inhibitor,2562A
256300ATB,N04BA02,levodopa and decarboxylase inhibitor,2563A
256400ATB,N04BA02,levodopa and decarboxylase inhibitor,2564A
256500ATR,N04BA02,levodopa and decarboxylase inhibitor,2565A
385203ACR,N06DA04,galantamine,3852A
385203ATR,N06DA04,galantamine,3852A
385204ACR,N06DA04,galantamine,3852A
385204ATR,N06DA04,galantamine,3852A
385205ACR,N06DA04,galantamine,3852A
385205ATR,N06DA04,galantamine,3852A
402501ATB,N04BC05,pramipexole,4025A
402502ATB,N04BC05,pramipexole,4025A
402503ATB,N04BC05,pramipexole,4025A
402504ATB,N04BC05,pramipexole,4025A
402505ATR,N04BC05,pramipexole,4025A
402506ATR,N04BC05,pramipexole,4025A
402507ATR,N04BC05,pramipexole,4025A
439201ATB,N04BX02,entacapone,4392A
439502ATB,N06BA07,modafinil,4395A
468300ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",4683A
468400ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",4684A
468900ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",4689A
499900ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",4999A
507200ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",5072A
507300ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",5073A
480401ACH,N02BF02,pregabalin,4804A
480401ATB,N02BF02,pregabalin,4804A
480401ATR,N02BF02,pregabalin,4804A
480402ACH,N02BF02,pregabalin,4804A
480402ATB,N02BF02,pregabalin,4804A
480402ATR,N02BF02,pregabalin,4804A
480403ACH,N02BF02,pregabalin,4804A
480403ATR,N02BF02,pregabalin,4804A
480404ACH,N02BF02,pregabalin,4804A
480405ACH,N02BF02,pregabalin,4804A
480405ATB,N02BF02,pregabalin,4804A
480406ACH,N02BF02,pregabalin,4804A
480406ATB,N02BF02,pregabalin,4804A
480407ATR,N02BF02,pregabalin,4804A
480408ATR,N02BF02,pregabalin,4804A
480409ATR,N02BF02,pregabalin,4804A
489601ACH,N06BA09,atomoxetine,4896A
489602ACH,N06BA09,atomoxetine,4896A
489603ACH,N06BA09,atomoxetine,4896A
489604ACH,N06BA09,atomoxetine,4896A
489605ACH,N06BA09,atomoxetine,4896A
489606ACH,N06BA09,atomoxetine,4896A
615201ACH,L04AE01,fingolimod,6152A
624701ATB,L04AK02,teriflunomide,6247A
625201ATB,N04BD02,rasagiline,6252A
625202ATB,N04BD02,rasagiline,6252A
648901ACH,L04AX07,dimethyl fumarate,6489A
648902ACH,L04AX07,dimethyl fumarate,6489A
662301ATB,N06BA13,armodafinil,6623A
662302ATB,N06BA13,armodafinil,6623A
689301ACH,N04BX04,opicapone,6893A
689801ATB,N04BD03,safinamide,6898A
701001ATB,N07XX11,pitolisant,7010A
701002ATB,N07XX11,pitolisant,7010A
722100ATB,N04BA02,levodopa and decarboxylase inhibitor,7221A
724001ASY,M09AX10,risdiplam,7240A
113501ATB,M03BX01,baclofen,1135A
113502ATB,M03BX01,baclofen,1135A
113504ATB,M03BX01,baclofen,1135A
131701ATB,M03BX,Other centrally acting agents,1317A
131702ATB,M03BX,Other centrally acting agents,1317A
138701ATB,M03BX08,cyclobenzaprine,1387A
138702ACR,M03BX08,cyclobenzaprine,1387A
140401ACH,M03CA01,dantrolene,1404A
152301ATB,M03BX09,eperisone,1523A
152302ATR,M03BX09,eperisone,1523A
192004ATB,M03BA03,methocarbamol,1920A
205203ATR,M03BC01,orphenadrine (citrate),2052A
217601ATB,M03BX03,pridinol,2176A
240701ATB,M03BX02,tizanidine,2407A
102502ATB,A03F,PROPULSIVES,1025A
116902ATB,N07AB02,bethanechol,1169A
116904ATB,N07AB02,bethanechol,1169A
203801ATB,A03AB06,otilonium bromide,2038A
203802ATB,A03AB06,otilonium bromide,2038A
207001ATB,G04BD04,oxybutynin,2070A
221401ATB,N07AA02,pyridostigmine,2214A
241201ATB,N05BA23,tofisopam,2412A
133501ATB,A03BB05,cimetropium bromide,1335A
158001ACH,A03AX05,fenoverine,1580A
172301ATB,A03BB01,butylscopolamine,1723A
212130ALQ,A03AX12,phloroglucinol,2121A
212101ATL,A03AX12,phloroglucinol,2121A
212103ATL,A03AX12,phloroglucinol,2121A
240301ACH,A03AC05,tiropramide,2403A
240301ATB,A03AC05,tiropramide,2403A
257900ATB,A03AX,Other drugs for functional gastrointestinal disorders,2579A
660901ACS,N07XX08,tafamidis,6609A
246603ACS,S01L,OCULAR VASCULAR DISORDER AGENTS,2466A
246603ATB,S01L,OCULAR VASCULAR DISORDER AGENTS,2466A
212301ATB,N07AX01,pilocarpine,2123A
130501ATB,R06AE07,cetirizine,1305A
131801ATB,R06AB04,chlorphenamine,1318A
135201ATB,R06AA04,clemastine,1352A
150630ALQ,R06AX22,ebastine,1506A
150601ATB,R06AX22,ebastine,1506A
151301ACR,R06AX,Other antihistamines for systemic use,1513A
151302ACR,R06AX,Other antihistamines for systemic use,1513A
185430ASY,R06AX13,loratadine,1854A
185401ACS,R06AX13,loratadine,1854A
185401ATB,R06AX13,loratadine,1854A
190532ASY,R06AD07,mequitazine,1905A
190502ATB,R06AD07,mequitazine,1905A
206201ATB,R06AE06,oxatomide,2062A
259900ACH,R01BA52,"pseudoephedrine, combinations",2599A
260100ACR,R01BA52,"pseudoephedrine, combinations",2601A
347901ATB,R06AX26,fexofenadine,3479A
347902ATB,R06AX26,fexofenadine,3479A
347903ATB,R06AX26,fexofenadine,3479A
347904ACS,R06AX26,fexofenadine,3479A
347904ATB,R06AX26,fexofenadine,3479A
355901ATB,R06AX25,mizolastine,3559A
395400ATB,R01BA52,"pseudoephedrine, combinations",3954A
453901ATB,R06AX,Other antihistamines for systemic use,4539A
453902ATB,R06AX,Other antihistamines for systemic use,4539A
453904ATR,R06AX,Other antihistamines for systemic use,4539A
463633ALQ,R06AE09,levocetirizine,4636A
463634ALQ,R06AE09,levocetirizine,4636A
463635ALQ,R06AE09,levocetirizine,4636A
463637ALQ,R06AE09,levocetirizine,4636A
463601ATB,R06AE09,levocetirizine,4636A
508801ATD,R06AX,Other antihistamines for systemic use,5088A
521601ATB,R06AX,Other antihistamines for systemic use,5216A
521602ATR,R06AX,Other antihistamines for systemic use,5216A
524800ATB,R01BA52,"pseudoephedrine, combinations",5248A
530800ASY,R01BA53,"phenylephrine, combinations",5308A
531100ASY,R01BA52,"pseudoephedrine, combinations",5311A
531500ASY,R01BA52,"pseudoephedrine, combinations",5315A
531300ASY,R01BA52,"pseudoephedrine, combinations",5313A
551501ATB,R06AX27,desloratadine,5515A
639501ATB,R06AX,Other antihistamines for systemic use,6395A
659601ATB,R06AX28,rupatadine,6596A
112401ATB,L04AX01,azathioprine,1124A
112402ATB,L04AX01,azathioprine,1124A
112403ATB,L04AX01,azathioprine,1124A
139201ACS,L04AD01,ciclosporin,1392A
139204ACS,L04AD01,ciclosporin,1392A
186701ACH,L03AX,Other immunostimulants,1867A
186702ACH,L03AX,Other immunostimulants,1867A
194730ALQ,L04AD01,ciclosporin,1947A
194701ACS,L04AD01,ciclosporin,1947A
194702ACS,L04AD01,ciclosporin,1947A
194703ACS,L04AD01,ciclosporin,1947A
196601ATB,L04AX,Other immunosuppressants,1966A
196602ATB,L04AX,Other immunosuppressants,1966A
197830ASS,L04AA06,mycophenolic acid,1978A
197801ACH,L04AA06,mycophenolic acid,1978A
197802ATB,L04AA06,mycophenolic acid,1978A
234201ACH,L04AD02,tacrolimus,2342A
234201ATB,L04AD02,tacrolimus,2342A
234203ACH,L04AD02,tacrolimus,2342A
234203ATB,L04AD02,tacrolimus,2342A
234204ACH,L04AD02,tacrolimus,2342A
234204ATB,L04AD02,tacrolimus,2342A
234205ACR,L04AD02,tacrolimus,2342A
234206ACR,L04AD02,tacrolimus,2342A
234207ACR,L04AD02,tacrolimus,2342A
234208ATB,L04AD02,tacrolimus,2342A
235101ACH,L03AX,Other immunostimulants,2351A
434601ATB,L04AK01,leflunomide,4346A
434602ATB,L04AK01,leflunomide,4346A
451401ATE,L04AA06,mycophenolic acid,4514A
451402ATE,L04AA06,mycophenolic acid,4514A
485501ATB,L04AH01,sirolimus,4855A
485502ATB,L04AH01,sirolimus,4855A
485503ATB,L04AH01,sirolimus,4855A
485601ATB,L04AH02,everolimus,4856A
485602ATB,L04AH02,everolimus,4856A
485603ATB,L04AH02,everolimus,4856A
485604ATB,L04AH02,everolimus,4856A
627201ATB,L04AF01,tofacitinib,6272A
627202ATB,L04AF01,tofacitinib,6272A
627204ATR,L04AF01,tofacitinib,6272A
648901ATE,L04AX07,dimethyl fumarate,6489A
648903ATE,L04AX07,dimethyl fumarate,6489A
667901ATB,L04AF02,baricitinib,6679A
667902ATB,L04AF02,baricitinib,6679A
689901ATR,L04AF03,upadacitinib,6899A
689902ATR,L04AF03,upadacitinib,6899A
703701ATB,D11AH08,abrocitinib,7037A
703702ATB,D11AH08,abrocitinib,7037A
703703ATB,D11AH08,abrocitinib,7037A
