주성분코드,ATC코드,주성분명
172807ATR,M01AE01,ibuprofen
180001ATB,M01AB15,ketorolac
186101ATB,M01AE,Propionic acid derivatives
186102ATR,M01AE,Propionic acid derivatives
189701ACH,M01AC06,meloxicam
189701ATB,M01AC06,meloxicam
189701ATD,M01AC06,meloxicam
189702ACH,M01AC06,meloxicam
198102ATB,M01AX01,nabumetone
199401ATR,M01AE02,naproxen
199404ATB,M01AE02,naproxen
199501ATB,M01AE02,naproxen
201801ATB,M01AX17,nimesulide
214001ACH,M01AC01,piroxicam
214001ATB,M01AC01,piroxicam
214004ACH,M01AC01,piroxicam
214004ATB,M01AC01,piroxicam
214202ATB,M01AC01,piroxicam
218602ATB,M01AB14,proglumetacin
233201ATB,M01AB02,sulindac
233802ATB,N02CC01,sumatriptan
233803ATB,N02CC01,sumatriptan
234401ATB,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
242302ATR,N02AX02,tramadol
242304ATR,N02AX02,tramadol
242301ATR,N02AX02,tramadol
242305ACH,N02AX02,tramadol
242305ATB,N02AX02,tramadol
242308ATR,N02AX02,tramadol
249901ATB,M01AE,Propionic acid derivatives
251800ATB,N02CA52,"ergotamine, combinations excl. psycholeptics"
347701ACH,M01AH01,celecoxib
347701ATB,M01AH01,celecoxib
347702ACH,M01AH01,celecoxib
347702ATB,M01AH01,celecoxib
347703ACH,M01AH01,celecoxib
348201ATB,M01CC02,bucillamine
415501ATB,N02CC02,naratriptan
415501ATD,N02CC02,naratriptan
415601ATB,N02CC03,zolmitriptan
416601ATB,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
458402ATB,M01AX22,morniflumate
480600ATB,N02AJ13,tramadol and paracetamol
513000ATB,N02AJ13,tramadol and paracetamol
513000ATR,N02AJ13,tramadol and paracetamol
514100ATR,N02AJ13,tramadol and paracetamol
493401ATB,M01AE,Propionic acid derivatives
493402ATR,M01AE,Propionic acid derivatives
499401ATB,N02CC05,almotriptan
509501ATB,N02CC07,frovatriptan
516701ATB,M09AX,Other drugs for disorders of the musculo-skeletal system
518000ATB,M01AE52,naproxen and esomeprazole
523500ATB,M01AE52,naproxen and esomeprazole
527400ATB,M01AE52,naproxen and esomeprazole
618201ATB,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
636401ACH,M01AH07,polmacoxib
636401ATB,M01AH07,polmacoxib
636901ATB,M01AH05,etoricoxib
697701ATB,M01AE,Propionic acid derivatives
713200ATR,M03BX,Other centrally acting agents
724600ATB,M01AH,Coxibs
193201ACR,N06BA04,methylphenidate
193201ATB,N06BA04,methylphenidate
193202ACR,N06BA04,methylphenidate
193202ATB,N06BA04,methylphenidate
193203ATR,N06BA04,methylphenidate
193204ATR,N06BA04,methylphenidate
193205ACR,N06BA04,methylphenidate
193206ATR,N06BA04,methylphenidate
193207ACR,N06BA04,methylphenidate
193208ACR,N06BA04,methylphenidate
193209ATR,N06BA04,methylphenidate
116301ATB,N07CA01,betahistine
550602ATB,N07CA01,betahistine
550603ATB,N07CA01,betahistine
105501ATB,N05BA12,alprazolam
105502ATB,N05BA12,alprazolam
105504ATB,N05BA12,alprazolam
105505ATB,N05BA12,alprazolam
105507ATB,N05BA12,alprazolam
107501ATB,N06AA09,amitriptyline
107502ATB,N06AA09,amitriptyline
107504ATB,N06AA09,amitriptyline
118501ATB,N05BA08,bromazepam
120501ATB,N05BE01,buspirone
120502ATB,N05BE01,buspirone
120503ATB,N05BE01,buspirone
131201ATB,N05BA02,chlordiazepoxide
131202ATB,N05BA02,chlordiazepoxide
131901ATB,N05AA01,chlorpromazine
131905ATB,N05AA01,chlorpromazine
131908ATB,N05AA01,chlorpromazine
135702ATB,N05BA09,clobazam
136301ACH,N06AA04,clomipramine
136302ACH,N06AA04,clomipramine
137501ATB,N05AH02,clozapine
137502ATB,N05AH02,clozapine
137503ATB,N05AH02,clozapine
137504ATB,N05AH02,clozapine
142901ATB,N05BA01,diazepam
142902ATB,N05BA01,diazepam
142903ATB,N05BA01,diazepam
156201ATB,N05BA18,ethyl loflazepate
156202ATB,N05BA18,ethyl loflazepate
156501ATB,N05BA19,etizolam
156502ATB,N05BA19,etizolam
156503ATB,N05BA19,etizolam
161501ACH,N06AB03,fluoxetine
161501ATB,N06AB03,fluoxetine
161502ACH,N06AB03,fluoxetine
161502ATB,N06AB03,fluoxetine
161502ATD,N06AB03,fluoxetine
167903ATB,N05AD01,haloperidol
167904ATB,N05AD01,haloperidol
167905ATB,N05AD01,haloperidol
167906ATB,N05AD01,haloperidol
167908ATB,N05AD01,haloperidol
172130ASY,N05BB01,hydroxyzine
172101ATB,N05BB01,hydroxyzine
173701ATB,N06AA02,imipramine
183301ATB,N05AA02,levomepromazine
183302ATB,N05AA02,levomepromazine
183303ATB,N05AA02,levomepromazine
184701ATB,N05AN01,lithium
184702ATB,N05AN01,lithium
185501ATB,N05BA06,lorazepam
185504ATB,N05BA06,lorazepam
196201ATB,N06AX11,mirtazapine
196201ATD,N06AX11,mirtazapine
196202ATB,N06AX11,mirtazapine
196202ATD,N06AX11,mirtazapine
196203ATB,N06AX11,mirtazapine
196204ATB,N06AX11,mirtazapine
196204ATD,N06AX11,mirtazapine
203401ATB,N06AA10,nortriptyline
203402ATB,N06AA10,nortriptyline
204001ATB,N05AH03,olanzapine
204001ATD,N05AH03,olanzapine
204002ATB,N05AH03,olanzapine
204002ATD,N05AH03,olanzapine
204004ATB,N05AH03,olanzapine
204005ATB,N05AH03,olanzapine
209301ATB,N06AB05,paroxetine
209302ATB,N06AB05,paroxetine
209304ATR,N06AB05,paroxetine
209305ATR,N06AB05,paroxetine
211401ATB,N05AB03,perphenazine
212402ATB,N05AG02,pimozide
224201ATB,N05AX08,risperidone
224201ATD,N05AX08,risperidone
224202ATB,N05AX08,risperidone
224202ATD,N05AX08,risperidone
224203ATB,N05AX08,risperidone
224204ATB,N05AX08,risperidone
227001ATB,N06AB06,sertraline
227002ATB,N06AB06,sertraline
227003ATB,N06AB06,sertraline
229601ATB,N06AX14,tianeptine
233401ATB,N05AL01,sulpiride
242901ACH,N06AX05,trazodone
242901ATB,N06AX05,trazodone
242902ATB,N06AX05,trazodone
242903ATR,N06AX05,trazodone
247502ACR,N06AX16,venlafaxine
247504ACR,N06AX16,venlafaxine
250801ATB,N05AX11,zotepine
250802ATB,N05AX11,zotepine
250803ATB,N05AX11,zotepine
255800ATB,A03CA02,clidinium and psycholeptics
355801ACH,N06AX17,milnacipran
355802ACH,N06AX17,milnacipran
355803ACH,N06AX17,milnacipran
378601ATB,N05AH04,quetiapine
378602ATB,N05AH04,quetiapine
378603ATB,N05AH04,quetiapine
378604ATB,N05AH04,quetiapine
378605ATB,N05AH04,quetiapine
378605ATR,N05AH04,quetiapine
378606ATR,N05AH04,quetiapine
378607ATR,N05AH04,quetiapine
378608ATR,N05AH04,quetiapine
378609ATR,N05AH04,quetiapine
378610ATB,N05AH04,quetiapine
420002ATB,N05AL05,amisulpride
420003ATB,N05AL05,amisulpride
420004ATB,N05AL05,amisulpride
428101ATB,N06AX12,bupropion
428102ATR,N06AX12,bupropion
428103ATR,N06AX12,bupropion
451501ATB,N05AX12,aripiprazole
451501ATD,N05AX12,aripiprazole
451502ATB,N05AX12,aripiprazole
451502ATD,N05AX12,aripiprazole
451503ATB,N05AX12,aripiprazole
451504ATB,N05AX12,aripiprazole
451505ATB,N05AX12,aripiprazole
451508ATB,N05AX12,aripiprazole
464901ACH,N05AE04,ziprasidone
464902ACH,N05AE04,ziprasidone
464903ACH,N05AE04,ziprasidone
464904ACH,N05AE04,ziprasidone
474801ATB,N06AB10,escitalopram
474801ATD,N06AB10,escitalopram
474802ATB,N06AB10,escitalopram
474802ATD,N06AB10,escitalopram
474803ATB,N06AB10,escitalopram
474803ATD,N06AB10,escitalopram
474804ATB,N06AB10,escitalopram
495501ACE,N06AX21,duloxetine
495502ACE,N06AX21,duloxetine
503201ATR,N05AX13,paliperidone
503202ATR,N05AX13,paliperidone
503203ATR,N05AX13,paliperidone
511301ATB,N05AX,Other antipsychotics
511302ATB,N05AX,Other antipsychotics
511303ATB,N05AX,Other antipsychotics
613101ATB,N06AX22,agomelatine
626401ATR,N06AX23,desvenlafaxine
626402ATR,N06AX23,desvenlafaxine
687601ATR,N06AX23,desvenlafaxine
687602ATR,N06AX23,desvenlafaxine
687701ATR,N06AX23,desvenlafaxine
687702ATR,N06AX23,desvenlafaxine
628501ATB,N06AX26,vortioxetine
628502ATB,N06AX26,vortioxetine
628504ATB,N06AX26,vortioxetine
687703ATR,N06AX23,desvenlafaxine
100501ATE,N07BB03,acamprosate
104101ATB,M03BX,Other centrally acting agents
106201ATB,N04BB01,amantadine
116001ATB,N04AC01,benzatropine
116002ATB,N04AC01,benzatropine
134801ATB,L04AA40,cladribine
136505ATR,C02AC01,clonidine
138103ASY,N07AX02,choline alfoscerate
138104ASY,N07AX02,choline alfoscerate
138101ACH,N07AX02,choline alfoscerate
138101ACS,N07AX02,choline alfoscerate
138101APD,N07AX02,choline alfoscerate
138101ATB,N07AX02,choline alfoscerate
148630ALQ,N06DA02,donepezil
148631ALQ,N06DA02,donepezil
148601APD,N06DA02,donepezil
148601ATB,N06DA02,donepezil
148601ATD,N06DA02,donepezil
148602APD,N06DA02,donepezil
148602ATB,N06DA02,donepezil
148602ATD,N06DA02,donepezil
148603ATB,N06DA02,donepezil
148604ATB,N06DA02,donepezil
164202ATR,N02BF01,gabapentin
164204ATR,N02BF01,gabapentin
172601ATB,N06AX25,Hyperici herba
190031ALQ,N06DX01,memantine
190001ATB,N06DX01,memantine
190003ATD,N06DX01,memantine
190004ATB,N06DX01,memantine
190004ATD,N06DX01,memantine
190005ATB,N06DX01,memantine
190006ATD,N06DX01,memantine
205303ATB,N04AB02,orphenadrine (chloride)
218401ATB,N04AA04,procyclidine
224030ASS,N07XX02,riluzole
224001ATB,N07XX02,riluzole
224501ACH,N06DA03,rivastigmine
224503ACH,N06DA03,rivastigmine
224504ACH,N06DA03,rivastigmine
224505ACH,N06DA03,rivastigmine
224901ATB,N04BC04,ropinirole
224902ATB,N04BC04,ropinirole
224902ATR,N04BC04,ropinirole
224903ATB,N04BC04,ropinirole
224904ATB,N04BC04,ropinirole
224905ATR,N04BC04,ropinirole
224906ATR,N04BC04,ropinirole
226401ATB,N04BD01,selegiline
244201ATB,N04AA01,trihexyphenidyl
256000ACR,N04BA02,levodopa and decarboxylase inhibitor
256000ATB,N04BA02,levodopa and decarboxylase inhibitor
256000ATD,N04BA02,levodopa and decarboxylase inhibitor
256200ATB,N04BA02,levodopa and decarboxylase inhibitor
256300ATB,N04BA02,levodopa and decarboxylase inhibitor
256400ATB,N04BA02,levodopa and decarboxylase inhibitor
256500ATR,N04BA02,levodopa and decarboxylase inhibitor
385203ACR,N06DA04,galantamine
385203ATR,N06DA04,galantamine
385204ACR,N06DA04,galantamine
385204ATR,N06DA04,galantamine
385205ACR,N06DA04,galantamine
385205ATR,N06DA04,galantamine
402501ATB,N04BC05,pramipexole
402502ATB,N04BC05,pramipexole
402503ATB,N04BC05,pramipexole
402504ATB,N04BC05,pramipexole
402505ATR,N04BC05,pramipexole
402506ATR,N04BC05,pramipexole
402507ATR,N04BC05,pramipexole
439201ATB,N04BX02,entacapone
439502ATB,N06BA07,modafinil
468300ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor"
468400ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor"
468900ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor"
499900ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor"
507200ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor"
507300ATB,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor"
480401ACH,N02BF02,pregabalin
480401ATB,N02BF02,pregabalin
480401ATR,N02BF02,pregabalin
480402ACH,N02BF02,pregabalin
480402ATB,N02BF02,pregabalin
480402ATR,N02BF02,pregabalin
480403ACH,N02BF02,pregabalin
480403ATR,N02BF02,pregabalin
480404ACH,N02BF02,pregabalin
480405ACH,N02BF02,pregabalin
480405ATB,N02BF02,pregabalin
480406ACH,N02BF02,pregabalin
480406ATB,N02BF02,pregabalin
480407ATR,N02BF02,pregabalin
480408ATR,N02BF02,pregabalin
480409ATR,N02BF02,pregabalin
489601ACH,N06BA09,atomoxetine
489602ACH,N06BA09,atomoxetine
489603ACH,N06BA09,atomoxetine
489604ACH,N06BA09,atomoxetine
489605ACH,N06BA09,atomoxetine
489606ACH,N06BA09,atomoxetine
615201ACH,L04AE01,fingolimod
624701ATB,L04AK02,teriflunomide
625201ATB,N04BD02,rasagiline
625202ATB,N04BD02,rasagiline
648901ACH,L04AX07,dimethyl fumarate
648902ACH,L04AX07,dimethyl fumarate
662301ATB,N06BA13,armodafinil
662302ATB,N06BA13,armodafinil
689301ACH,N04BX04,opicapone
689801ATB,N04BD03,safinamide
701001ATB,N07XX11,pitolisant
701002ATB,N07XX11,pitolisant
722100ATB,N04BA02,levodopa and decarboxylase inhibitor
724001ASY,M09AX10,risdiplam
113501ATB,M03BX01,baclofen
113502ATB,M03BX01,baclofen
113504ATB,M03BX01,baclofen
131701ATB,M03BX,Other centrally acting agents
131702ATB,M03BX,Other centrally acting agents
138701ATB,M03BX08,cyclobenzaprine
138702ACR,M03BX08,cyclobenzaprine
140401ACH,M03CA01,dantrolene
152301ATB,M03BX09,eperisone
152302ATR,M03BX09,eperisone
192004ATB,M03BA03,methocarbamol
205203ATR,M03BC01,orphenadrine (citrate)
217601ATB,M03BX03,pridinol
240701ATB,M03BX02,tizanidine
102502ATB,A03F,PROPULSIVES
116902ATB,N07AB02,bethanechol
116904ATB,N07AB02,bethanechol
203801ATB,A03AB06,otilonium bromide
203802ATB,A03AB06,otilonium bromide
207001ATB,G04BD04,oxybutynin
221401ATB,N07AA02,pyridostigmine
241201ATB,N05BA23,tofisopam
133501ATB,A03BB05,cimetropium bromide
158001ACH,A03AX05,fenoverine
172301ATB,A03BB01,butylscopolamine
212130ALQ,A03AX12,phloroglucinol
212101ATL,A03AX12,phloroglucinol
212103ATL,A03AX12,phloroglucinol
240301ACH,A03AC05,tiropramide
240301ATB,A03AC05,tiropramide
257900ATB,A03AX,Other drugs for functional gastrointestinal disorders
660901ACS,N07XX08,tafamidis
246603ACS,S01L,OCULAR VASCULAR DISORDER AGENTS
246603ATB,S01L,OCULAR VASCULAR DISORDER AGENTS
212301ATB,N07AX01,pilocarpine
130501ATB,R06AE07,cetirizine
131801ATB,R06AB04,chlorphenamine
135201ATB,R06AA04,clemastine
150630ALQ,R06AX22,ebastine
150601ATB,R06AX22,ebastine
151301ACR,R06AX,Other antihistamines for systemic use
151302ACR,R06AX,Other antihistamines for systemic use
185430ASY,R06AX13,loratadine
185401ACS,R06AX13,loratadine
185401ATB,R06AX13,loratadine
190532ASY,R06AD07,mequitazine
190502ATB,R06AD07,mequitazine
206201ATB,R06AE06,oxatomide
259900ACH,R01BA52,"pseudoephedrine, combinations"
260100ACR,R01BA52,"pseudoephedrine, combinations"
347901ATB,R06AX26,fexofenadine
347902ATB,R06AX26,fexofenadine
347903ATB,R06AX26,fexofenadine
347904ACS,R06AX26,fexofenadine
347904ATB,R06AX26,fexofenadine
355901ATB,R06AX25,mizolastine
395400ATB,R01BA52,"pseudoephedrine, combinations"
453901ATB,R06AX,Other antihistamines for systemic use
453902ATB,R06AX,Other antihistamines for systemic use
453904ATR,R06AX,Other antihistamines for systemic use
463633ALQ,R06AE09,levocetirizine
463634ALQ,R06AE09,levocetirizine
463635ALQ,R06AE09,levocetirizine
463637ALQ,R06AE09,levocetirizine
463601ATB,R06AE09,levocetirizine
508801ATD,R06AX,Other antihistamines for systemic use
521601ATB,R06AX,Other antihistamines for systemic use
521602ATR,R06AX,Other antihistamines for systemic use
524800ATB,R01BA52,"pseudoephedrine, combinations"
530800ASY,R01BA53,"phenylephrine, combinations"
531100ASY,R01BA52,"pseudoephedrine, combinations"
531500ASY,R01BA52,"pseudoephedrine, combinations"
531300ASY,R01BA52,"pseudoephedrine, combinations"
551501ATB,R06AX27,desloratadine
639501ATB,R06AX,Other antihistamines for systemic use
659601ATB,R06AX28,rupatadine
112401ATB,L04AX01,azathioprine
112402ATB,L04AX01,azathioprine
112403ATB,L04AX01,azathioprine
139201ACS,L04AD01,ciclosporin
139204ACS,L04AD01,ciclosporin
186701ACH,L03AX,Other immunostimulants
186702ACH,L03AX,Other immunostimulants
194730ALQ,L04AD01,ciclosporin
194701ACS,L04AD01,ciclosporin
194702ACS,L04AD01,ciclosporin
194703ACS,L04AD01,ciclosporin
196601ATB,L04AX,Other immunosuppressants
196602ATB,L04AX,Other immunosuppressants
197830ASS,L04AA06,mycophenolic acid
197801ACH,L04AA06,mycophenolic acid
197802ATB,L04AA06,mycophenolic acid
234201ACH,L04AD02,tacrolimus
234201ATB,L04AD02,tacrolimus
234203ACH,L04AD02,tacrolimus
234203ATB,L04AD02,tacrolimus
234204ACH,L04AD02,tacrolimus
234204ATB,L04AD02,tacrolimus
234205ACR,L04AD02,tacrolimus
234206ACR,L04AD02,tacrolimus
234207ACR,L04AD02,tacrolimus
234208ATB,L04AD02,tacrolimus
235101ACH,L03AX,Other immunostimulants
434601ATB,L04AK01,leflunomide
434602ATB,L04AK01,leflunomide
451401ATE,L04AA06,mycophenolic acid
451402ATE,L04AA06,mycophenolic acid
485501ATB,L04AH01,sirolimus
485502ATB,L04AH01,sirolimus
485503ATB,L04AH01,sirolimus
485601ATB,L04AH02,everolimus
485602ATB,L04AH02,everolimus
485603ATB,L04AH02,everolimus
485604ATB,L04AH02,everolimus
627201ATB,L04AF01,tofacitinib
627202ATB,L04AF01,tofacitinib
627204ATR,L04AF01,tofacitinib
648901ATE,L04AX07,dimethyl fumarate
648903ATE,L04AX07,dimethyl fumarate
667901ATB,L04AF02,baricitinib
667902ATB,L04AF02,baricitinib
689901ATR,L04AF03,upadacitinib
689902ATR,L04AF03,upadacitinib
703701ATB,D11AH08,abrocitinib
703702ATB,D11AH08,abrocitinib
703703ATB,D11AH08,abrocitinib
720001ACH,L04AE02,ozanimod
725201ATB,L04AF04,filgotinib
725202ATB,L04AF04,filgotinib
725401ATB,L04AF07,deucravacitinib
726600ACH,L04AE02,ozanimod
112501ATB,R06AX19,azelastine
152501ATB,R06AX24,epinastine
152502ATB,R06AX24,epinastine
209631ASY,R06AX,Other antihistamines for systemic use
209602ATB,R06AX,Other antihistamines for systemic use
216430ASY,R03DC02,pranlukast
216431ASY,R03DC02,pranlukast
216432ASY,R03DC02,pranlukast
216433ASY,R03DC02,pranlukast
216401ACH,R03DC02,pranlukast
216402ASS,R03DC02,pranlukast
216403ACH,R03DC02,pranlukast
216404ATB,R03DC02,pranlukast
216405ASS,R03DC02,pranlukast
216406ASS,R03DC02,pranlukast
216407ASS,R03DC02,pranlukast
216408ATB,R03DC02,pranlukast
251201ACS,D11AX02,gamolenic acid
251202ACS,D11AX02,gamolenic acid
374601ATB,R03DC03,montelukast
374601ATD,R03DC03,montelukast
374602ATB,R03DC03,montelukast
374602ATD,R03DC03,montelukast
374603AGN,R03DC03,montelukast
374603ATB,R03DC03,montelukast
374603ATD,R03DC03,montelukast
391703ATB,R06AX,Other antihistamines for systemic use
487001ATB,R03DC,Leukotriene receptor antagonists
659900ACH,R03DC53,"montelukast, combinations"
659900ATB,R03DC53,"montelukast, combinations"
670600ATB,R03DC53,"montelukast, combinations"
107301ATB,R03DA05,aminophylline
107301ATR,R03DA05,aminophylline
107303ATR,R03DA05,aminophylline
117903ATB,C07AB07,bisoprolol
117904ATB,C07AB07,bisoprolol
144831AEL,C01AA05,digoxin
144801ATB,C01AA05,digoxin
245802ACH,C01EB09,ubidecarenone
107401ATB,C01BD01,amiodarone
110201ATB,C07AG,Alpha and beta blocking agents
110202ATB,C07AG,Alpha and beta blocking agents
124801ATB,C07AA15,carteolol
159302ATB,C01BC04,flecainide
219501ATB,C01BC03,propafenone
219502ATB,C01BC03,propafenone
219503ACR,C01BC03,propafenone
219504ACR,C01BC03,propafenone
219505ACR,C01BC03,propafenone
219901ATB,C07AA05,propranolol
219904ATB,C07AA05,propranolol
230402ATB,C07AA07,sotalol
502101ACH,C01BG,"Other antiarrhythmics, class I and III"
502102ACH,C01BG,"Other antiarrhythmics, class I and III"
597401ATB,C01BD07,dronedarone
101501ATB,S01EC01,acetazolamide
106901ATB,C03DB01,amiloride
112901ATB,C03CA,"Sulfonamides, plain"
163801ATB,C03CA01,furosemide
170801ATB,C03AA03,hydrochlorothiazide
174403ATB,C03BA11,indapamide
231101ATB,C03DA01,spironolactone
231102ATB,C03DA01,spironolactone
242001ATB,C03CA04,torasemide
242002ATB,C03CA04,torasemide
242003ATB,C03CA04,torasemide
249401ATB,C03BA10,xipamide
451302ATB,C03BA04,chlortalidone
104201ATB,C09AA,"ACE inhibitors, plain"
104202ATB,C09AA,"ACE inhibitors, plain"
107601ATB,C08CA01,amlodipine
107602ATB,C08CA01,amlodipine
107603ATB,C08CA01,amlodipine
111402ATB,C07AB03,atenolol
111403ATB,C07AB03,atenolol
114001ACH,C08CA12,barnidipine
114002ACH,C08CA12,barnidipine
114003ACH,C08CA12,barnidipine
115101ATB,C08CA15,benidipine
115102ATB,C08CA15,benidipine
115103ATB,C08CA15,benidipine
115104ATB,C08CA15,benidipine
116801ATB,C07AB05,betaxolol
116803ATB,C07AB05,betaxolol
117001ATB,C07AB06,bevantolol
117002ATB,C07AB06,bevantolol
122601ATB,C09CA06,candesartan
122602ATB,C09CA06,candesartan
122603ATB,C09CA06,candesartan
122901ATB,C09AA01,captopril
122902ATB,C09AA01,captopril
122903ATB,C09AA01,captopril
125001ATB,C07AG02,carvedilol
125002ATB,C07AG02,carvedilol
125003ATB,C07AG02,carvedilol
125004ACR,C07AG02,carvedilol
125004ATR,C07AG02,carvedilol
125005ATB,C07AG02,carvedilol
125006ACR,C07AG02,carvedilol
125006ATR,C07AG02,carvedilol
125007ACR,C07AG02,carvedilol
125007ATR,C07AG02,carvedilol
125008ACR,C07AG02,carvedilol
125008ATR,C07AG02,carvedilol
133001ATB,C09AA08,cilazapril
133002ATB,C09AA08,cilazapril
133003ATB,C09AA08,cilazapril
133101ATB,C08CA14,cilnidipine
133102ATB,C08CA14,cilnidipine
149102ATB,C02CA04,doxazosin
149104ATR,C02CA04,doxazosin
151601ATB,C09AA02,enalapril
151603ATB,C09AA02,enalapril
157501ATR,C08CA02,felodipine
157503ATR,C08CA02,felodipine
174401ATR,C03BA11,indapamide
177301ATB,C09CA04,irbesartan
177303ATB,C09CA04,irbesartan
180301ATB,C08CA09,lacidipine
180302ATB,C08CA09,lacidipine
180303ATB,C08CA09,lacidipine
182001ATB,C08CA13,lercanidipine
184501ATB,C09AA03,lisinopril
185701ATB,C09CA01,losartan
185702ATB,C09CA01,losartan
