주성분코드_9,ATC코드,주성분명,주성분코드_5
223501BIJ,B01AD02,alteplase,2235B
223502BIJ,B01AD02,alteplase,2235B
246401BIJ,B01AD04,urokinase,2464B
246405BIJ,B01AD04,urokinase,2464B
246406BIJ,B01AD04,urokinase,2464B
450302BIJ,B01AD11,tenecteplase,4503B
635801BIJ,B01AD12,protein C,6358B
111501ATB,C10AA05,atorvastatin,1115A
111502ATB,C10AA05,atorvastatin,1115A
111503ATB,C10AA05,atorvastatin,1115A
111504ATB,C10AA05,atorvastatin,1115A
162401ATB,C10AA04,fluvastatin,1624A
162402ATB,C10AA04,fluvastatin,1624A
162403ATR,C10AA04,fluvastatin,1624A
185801ATB,C10AA02,lovastatin,1858A
216601ATB,C10AA03,pravastatin,2166A
216602ATB,C10AA03,pravastatin,2166A
216603ATB,C10AA03,pravastatin,2166A
216604ATB,C10AA03,pravastatin,2166A
227801ATB,C10AA01,simvastatin,2278A
227801ATR,C10AA01,simvastatin,2278A
227802ATB,C10AA01,simvastatin,2278A
227803ATB,C10AA01,simvastatin,2278A
227806ATB,C10AA01,simvastatin,2278A
454001ATB,C10AA07,rosuvastatin,4540A
454001ATD,C10AA07,rosuvastatin,4540A
454002ATB,C10AA07,rosuvastatin,4540A
454002ATD,C10AA07,rosuvastatin,4540A
454003ATB,C10AA07,rosuvastatin,4540A
454003ATD,C10AA07,rosuvastatin,4540A
454005ATB,C10AA07,rosuvastatin,4540A
470901ATB,C10AA08,pitavastatin,4709A
470902ATB,C10AA08,pitavastatin,4709A
470903ATB,C10AA08,pitavastatin,4709A
502201ATB,C10AA05,atorvastatin,5022A
502202ATB,C10AA05,atorvastatin,5022A
502203ATB,C10AA05,atorvastatin,5022A
502204ATB,C10AA05,atorvastatin,5022A
111402ATB,C07AB03,atenolol,1114A
111403ATB,C07AB03,atenolol,1114A
116801ATB,C07AB05,betaxolol,1168A
116803ATB,C07AB05,betaxolol,1168A
117001ATB,C07AB06,bevantolol,1170A
117002ATB,C07AB06,bevantolol,1170A
117901ATB,C07AB07,bisoprolol,1179A
117902ATB,C07AB07,bisoprolol,1179A
117903ATB,C07AB07,bisoprolol,1179A
117904ATB,C07AB07,bisoprolol,1179A
129101ATB,C07AB08,celiprolol,1291A
154430BIJ,C07AB09,esmolol,1544B
154431BIJ,C07AB09,esmolol,1544B
193802ATB,C07AB02,metoprolol,1938A
194003ATR,C07AB02,metoprolol,1940A
483101ATB,C07AB11,s-atenolol,4831A
483102ATB,C07AB11,s-atenolol,4831A
489501ATB,C07AB12,nebivolol,4895A
489502ATB,C07AB12,nebivolol,4895A
489503ATB,C07AB12,nebivolol,4895A
104201ATB,C09AA,"ACE inhibitors, plain",1042A
104202ATB,C09AA,"ACE inhibitors, plain",1042A
122901ATB,C09AA01,captopril,1229A
122902ATB,C09AA01,captopril,1229A
122903ATB,C09AA01,captopril,1229A
133001ATB,C09AA08,cilazapril,1330A
133002ATB,C09AA08,cilazapril,1330A
133003ATB,C09AA08,cilazapril,1330A
151601ATB,C09AA02,enalapril,1516A
151603ATB,C09AA02,enalapril,1516A
163501ATB,C09AA09,fosinopril,1635A
163502ATB,C09AA09,fosinopril,1635A
173401ATB,C09AA16,imidapril,1734A
173402ATB,C09AA16,imidapril,1734A
184501ATB,C09AA03,lisinopril,1845A
211301ATB,C09AA04,perindopril,2113A
211302ATB,C09AA04,perindopril,2113A
221901ATB,C09AA06,quinapril,2219A
222401ATB,C09AA05,ramipril,2224A
222402ATB,C09AA05,ramipril,2224A
222404ATB,C09AA05,ramipril,2224A
235002ATB,C09AA14,temocapril,2350A
501601ATB,C09AA04,perindopril,5016A
501602ATB,C09AA04,perindopril,5016A
510401ATB,C09AA15,zofenopril,5104A
510402ATB,C09AA15,zofenopril,5104A
510403ATB,C09AA15,zofenopril,5104A
122601ATB,C09CA06,candesartan,1226A
122602ATB,C09CA06,candesartan,1226A
122603ATB,C09CA06,candesartan,1226A
177301ATB,C09CA04,irbesartan,1773A
177303ATB,C09CA04,irbesartan,1773A
185701ATB,C09CA01,losartan,1857A
185702ATB,C09CA01,losartan,1857A
185703ATB,C09CA01,losartan,1857A
247101ATB,C09CA03,valsartan,2471A
247102ATB,C09CA03,valsartan,2471A
247103ATB,C09CA03,valsartan,2471A
247104ATB,C09CA03,valsartan,2471A
378801ATB,C09CA07,telmisartan,3788A
378802ATB,C09CA07,telmisartan,3788A
378803ATB,C09CA07,telmisartan,3788A
429201ATB,C09CA02,eprosartan,4292A
468501ATB,C09CA08,olmesartan medoxomil,4685A
468502ATB,C09CA08,olmesartan medoxomil,4685A
468503ATB,C09CA08,olmesartan medoxomil,4685A
515201ATB,C09CA10,fimasartan,5152A
515202ATB,C09CA10,fimasartan,5152A
515203ATB,C09CA10,fimasartan,5152A
520901ATB,C09CA08,olmesartan medoxomil,5209A
520902ATB,C09CA08,olmesartan medoxomil,5209A
662401ATB,C09CA09,azilsartan medoxomil,6624A
662402ATB,C09CA09,azilsartan medoxomil,6624A
662403ATB,C09CA09,azilsartan medoxomil,6624A
107601ATB,C08CA01,amlodipine,1076A
107601ATD,C08CA01,amlodipine,1076A
107602ATB,C08CA01,amlodipine,1076A
107602ATD,C08CA01,amlodipine,1076A
107603ATB,C08CA01,amlodipine,1076A
114001ACH,C08CA12,barnidipine,1140A
114002ACH,C08CA12,barnidipine,1140A
114003ACH,C08CA12,barnidipine,1140A
115101ATB,C08CA15,benidipine,1151A
115102ATB,C08CA15,benidipine,1151A
115103ATB,C08CA15,benidipine,1151A
115104ATB,C08CA15,benidipine,1151A
133101ATB,C08CA14,cilnidipine,1331A
133102ATB,C08CA14,cilnidipine,1331A
157501ATR,C08CA02,felodipine,1575A
157503ATR,C08CA02,felodipine,1575A
178902ATR,C08CA03,isradipine,1789A
180301ATB,C08CA09,lacidipine,1803A
180302ATB,C08CA09,lacidipine,1803A
180303ATB,C08CA09,lacidipine,1803A
182001ATB,C08CA13,lercanidipine,1820A
182002ATB,C08CA13,lercanidipine,1820A
188001ATB,C08CA11,manidipine,1880A
188002ATB,C08CA11,manidipine,1880A
201002ATB,C08CA04,nicardipine,2010A
201003ATR,C08CA04,nicardipine,2010A
201030BIJ,C08CA04,nicardipine,2010B
201031BIJ,C08CA04,nicardipine,2010B
201033BIJ,C08CA04,nicardipine,2010B
201401ATB,C08CA05,nifedipine,2014A
201405ATR,C08CA05,nifedipine,2014A
201407ATB,C08CA05,nifedipine,2014A
201409ATR,C08CA05,nifedipine,2014A
201901ATB,C08CA06,nimodipine,2019A
201930BIJ,C08CA06,nimodipine,2019B
356201ATB,C08CA07,nisoldipine,3562A
356202ATB,C08CA07,nisoldipine,3562A
356202ATR,C08CA07,nisoldipine,3562A
356203ATR,C08CA07,nisoldipine,3562A
441201ATB,C08CA,Dihydropyridine derivatives,4412A
441202ATB,C08CA,Dihydropyridine derivatives,4412A
459801ACH,C08CA01,amlodipine,4598A
459801ATB,C08CA01,amlodipine,4598A
459802ACH,C08CA01,amlodipine,4598A
459901ATB,C08CA01,amlodipine,4599A
459902ATB,C08CA01,amlodipine,4599A
464601ATB,C08CA01,amlodipine,4646A
470801ATB,C08CA01,amlodipine,4708A
470802ATB,C08CA01,amlodipine,4708A
476201ATB,C08CA01,amlodipine,4762A
479701ATB,C08CA01,amlodipine,4797A
483201ATB,C08CA01,amlodipine,4832A
483202ATB,C08CA01,amlodipine,4832A
486501ATB,C08CA17,levamlodipine,4865A
486502ATB,C08CA17,levamlodipine,4865A
486503ATB,C08CA17,levamlodipine,4865A
495901ATB,C08CA01,amlodipine,4959A
528201ATR,C08CA05,nifedipine,5282A
528202ATR,C08CA05,nifedipine,5282A
701401ATB,C08CA,Dihydropyridine derivatives,7014A
701402ATB,C08CA,Dihydropyridine derivatives,7014A
247603ATR,C08DA01,verapamil,2476A
247605ATR,C08DA01,verapamil,2476A
247606ATB,C08DA01,verapamil,2476A
247607ATB,C08DA01,verapamil,2476A
247630BIJ,C08DA01,verapamil,2476B
170801ATB,C03AA03,hydrochlorothiazide,1708A
112901ATB,C03CA,"Sulfonamides, plain",1129A
163801ATB,C03CA01,furosemide,1638A
163830BIJ,C03CA01,furosemide,1638B
242001ATB,C03CA04,torasemide,2420A
242002ATB,C03CA04,torasemide,2420A
242003ATB,C03CA04,torasemide,2420A
242004ATB,C03CA04,torasemide,2420A
178401ATB,C01DA08,isosorbide dinitrate,1784A
178403ACR,C01DA08,isosorbide dinitrate,1784A
178406ACR,C01DA08,isosorbide dinitrate,1784A
178407ATR,C01DA08,isosorbide dinitrate,1784A
178430BIJ,C01DA08,isosorbide dinitrate,1784B
178431BIJ,C01DA08,isosorbide dinitrate,1784B
178432CSI,C01DA08,isosorbide dinitrate,1784C
178501ATB,C01DA14,isosorbide mononitrate,1785A
178502ATB,C01DA14,isosorbide mononitrate,1785A
178503ACR,C01DA14,isosorbide mononitrate,1785A
178503ATR,C01DA14,isosorbide mononitrate,1785A
178504ATR,C01DA14,isosorbide mononitrate,1785A
178506ATR,C01DA14,isosorbide mononitrate,1785A
202602ATL,C01DA02,glyceryl trinitrate,2026A
202630CSI,C01DA02,glyceryl trinitrate,2026C
202632BIJ,C01DA02,glyceryl trinitrate,2026B
202633BIJ,C01DA02,glyceryl trinitrate,2026B
202634CPC,C01DA02,glyceryl trinitrate,2026C
202635BIJ,C01DA02,glyceryl trinitrate,2026B
202637CSI,C01DA02,glyceryl trinitrate,2026C
148601APD,N06DA02,donepezil,1486A
148601ATB,N06DA02,donepezil,1486A
148601ATD,N06DA02,donepezil,1486A
148602APD,N06DA02,donepezil,1486A
148602ATB,N06DA02,donepezil,1486A
148602ATD,N06DA02,donepezil,1486A
148603ATB,N06DA02,donepezil,1486A
148604ATB,N06DA02,donepezil,1486A
148630ALQ,N06DA02,donepezil,1486A
148631ALQ,N06DA02,donepezil,1486A
165301ATB,N06DX02,Ginkgo folium,1653A
165303ATB,N06DX02,Ginkgo folium,1653A
165305ATB,N06DX02,Ginkgo folium,1653A
165310ATB,N06DX02,Ginkgo folium,1653A
165330BIJ,N06DX02,Ginkgo folium,1653B
165334ALQ,N06DX02,Ginkgo folium,1653A
190001ATB,N06DX01,memantine,1900A
190003ATD,N06DX01,memantine,1900A
190004ATB,N06DX01,memantine,1900A
190004ATD,N06DX01,memantine,1900A
190005ATB,N06DX01,memantine,1900A
190006ATD,N06DX01,memantine,1900A
190030ASY,N06DX01,memantine,1900A
190031ALQ,N06DX01,memantine,1900A
224501ACH,N06DA03,rivastigmine,2245A
224501ATB,N06DA03,rivastigmine,2245A
224503ACH,N06DA03,rivastigmine,2245A
224503ATB,N06DA03,rivastigmine,2245A
224504ACH,N06DA03,rivastigmine,2245A
224505ACH,N06DA03,rivastigmine,2245A
224506CPC,N06DA03,rivastigmine,2245C
224506CPL,N06DA03,rivastigmine,2245C
224507CPC,N06DA03,rivastigmine,2245C
224507CPL,N06DA03,rivastigmine,2245C
224508CPC,N06DA03,rivastigmine,2245C
385203ACR,N06DA04,galantamine,3852A
385203ATR,N06DA04,galantamine,3852A
385204ACR,N06DA04,galantamine,3852A
385204ATR,N06DA04,galantamine,3852A
385205ACR,N06DA04,galantamine,3852A
385205ATR,N06DA04,galantamine,3852A
643401ATD,N06DA02,donepezil,6434A
643402ATD,N06DA02,donepezil,6434A
643403CPC,N06DA02,donepezil,6434C
643404CPC,N06DA02,donepezil,6434C
119530CSI,R03BA02,budesonide,1195C
119531CSI,R03BA02,budesonide,1195C
119533CSI,R03BA02,budesonide,1195C
162230CSY,R03BA05,fluticasone,1622C
162231CSS,R03BA05,fluticasone,1622C
162232CSI,R03BA05,fluticasone,1622C
162233CSI,R03BA05,fluticasone,1622C
162235CSI,R03BA05,fluticasone,1622C
162236CSI,R03BA05,fluticasone,1622C
497130CSI,R03BA08,ciclesonide,4971C
497131CSI,R03BA08,ciclesonide,4971C
225503ACR,R03AC02,Salbutamol,2255A
225530CSI,R03AC02,salbutamol,2255C
225531CSI,R03AC02,salbutamol,2255C
225532CSI,R03AC02,salbutamol,2255C
225501ATB,R03CC02,salbutamol,2255A
225503ATB,R03CC02,salbutamol,2255A
225503ATR,R03CC02,salbutamol,2255A
225507ATR,R03CC02,salbutamol,2255A
163130ASY,R03AC13,formoterol,1631A
163131ASY,R03AC13,formoterol,1631A
543800CSI,R03AK07,formoterol and budesonide,5438C
543900CSI,R03AK07,formoterol and budesonide,5439C
544000CSI,R03AK07,formoterol and budesonide,5440C
544100CSI,R03AK07,formoterol and budesonide,5441C
801100CSI,R03AK07,formoterol and budesonide,8011C
543100CSI,R03AK06,salmeterol and fluticasone,5431C
543200CSI,R03AK06,salmeterol and fluticasone,5432C
543300CSI,R03AK06,salmeterol and fluticasone,5433C
543400CSI,R03AK06,salmeterol and fluticasone,5434C
543500CSI,R03AK06,salmeterol and fluticasone,5435C
543600CSI,R03AK06,salmeterol and fluticasone,5436C
544300CSI,R03AK06,salmeterol and fluticasone,5443C
544400CSI,R03AK06,salmeterol and fluticasone,5444C
544500CSI,R03AK06,salmeterol and fluticasone,5445C
374601ASY,R03DC03,montelukast,3746A
374601ATB,R03DC03,montelukast,3746A
374601ATD,R03DC03,montelukast,3746A
374602ATB,R03DC03,montelukast,3746A
374602ATD,R03DC03,montelukast,3746A
374603AGN,R03DC03,montelukast,3746A
374603ASY,R03DC03,montelukast,3746A
374603ATB,R03DC03,montelukast,3746A
374603ATD,R03DC03,montelukast,3746A
249701ATB,R03DC01,zafirlukast,2497A
572901BIJ,R03DX05,omalizumab,5729B
572903BIJ,R03DX05,omalizumab,5729B
572904BIJ,R03DX05,omalizumab,5729B
237001ACR,R03DA04,theophylline,2370A
237001ATB,R03DA04,theophylline,2370A
237002ATR,R03DA04,theophylline,2370A
237003ACR,R03DA04,theophylline,2370A
237003ATB,R03DA04,theophylline,2370A
237003ATR,R03DA04,theophylline,2370A
237005ATR,R03DA04,theophylline,2370A
237030ASY,R03DA04,theophylline,2370A
237031ASY,R03DA04,theophylline,2370A
107301ATB,R03DA05,aminophylline,1073A
107301ATR,R03DA05,aminophylline,1073A
107303ATR,R03DA05,aminophylline,1073A
107330BIJ,R03DA05,aminophylline,1073B
177132CLQ,R01AX03,ipratropium bromide,1771C
177131CLQ,R03BB01,ipratropium bromide,1771C
457301CCH,R03BB04,tiotropium bromide,4573C
457301CTB,R03BB04,tiotropium bromide,4573C
457330CSI,R03BB04,tiotropium bromide,4573C
503430CSI,R03BB04,tiotropium bromide,5034C
152631CLQ,R03AA01,epinephrine,1526C
152632CLQ,R03AA01,epinephrine,1526C
152633CLQ,R03AA01,epinephrine,1526C
152634CLQ,R03AA01,epinephrine,1526C
152430BIJ,R03CA02,ephedrine,1524B
243201ATB,H02AB08,triamcinolone,2432A
243202ATB,H02AB08,triamcinolone,2432A
243203ATB,H02AB08,triamcinolone,2432A
243335BIJ,H02AB08,triamcinolone,2433B
243336BIJ,H02AB08,triamcinolone,2433B
243337BIJ,H02AB08,triamcinolone,2433B
217001ATB,H02AB06,prednisolone,2170A
217034ASY,H02AB06,prednisolone,2170A
217035ASY,H02AB06,prednisolone,2170A
217302BIJ,H02AB06,prednisolone,2173B
193302ATB,H02AB04,methylprednisolone,1933A
193304ATB,H02AB04,methylprednisolone,1933A
193305ATB,H02AB04,methylprednisolone,1933A
193530BIJ,H02AB04,methylprednisolone,1935B
193531BIJ,H02AB04,methylprednisolone,1935B
193601BIJ,H02AB04,methylprednisolone,1936B
193603BIJ,H02AB04,methylprednisolone,1936B
193604BIJ,H02AB04,methylprednisolone,1936B
116401ATB,H02AB01,betamethasone,1164A
116530BIJ,H02AB01,betamethasone,1165B
170901ATB,H02AB09,hydrocortisone,1709A
170906ATB,H02AB09,hydrocortisone,1709A
171201BIJ,H02AB09,hydrocortisone,1712B
171202BIJ,H02AB09,hydrocortisone,1712B
141901ATB,H02AB02,dexamethasone,1419A
141903ATB,H02AB02,dexamethasone,1419A
141904ATB,H02AB02,dexamethasone,1419A
142030BIJ,H02AB02,dexamethasone,1420B
142230BIJ,H02AB02,dexamethasone,1422B
142232BIJ,H02AB02,dexamethasone,1422B
142233BIJ,H02AB02,dexamethasone,1422B
182930CSI,R01AC02,levocabastine,1829C
180101ATB,R06AX17,ketotifen,1801A
180140ASY,R06AX17,ketotifen,1801A
180141ASY,R06AX17,ketotifen,1801A
180142ASY,R06AX17,ketotifen,1801A
180143ASY,R06AX17,ketotifen,1801A
180151ASY,R06AX17,ketotifen,1801A
174401ATR,C03BA11,indapamide,1744A
174403ATB,C03BA11,indapamide,1744A
249401ATB,C03BA10,xipamide,2494A
367001ATB,C03BA08,metolazone,3670A
367002ATB,C03BA08,metolazone,3670A
451302ATB,C03BA04,chlortalidone,4513A
231101ATB,C03DA01,spironolactone,2311A
231102ATB,C03DA01,spironolactone,2311A
729201ATB,C03DA05,finerenone,7292A
729202ATB,C03DA05,finerenone,7292A
106901ATB,C03DB01,amiloride,1069A
262700ATB,C03EA01,hydrochlorothiazide and potassium-sparing agents,2627A
616501ATB,C03XA01,tolvaptan,6165A
616502ATB,C03XA01,tolvaptan,6165A
616503ATB,C03XA01,tolvaptan,6165A
616504ATB,C03XA01,tolvaptan,6165A
124801ATB,C07AA15,carteolol,1248A
198301ATB,C07AA12,nadolol,1983A
219901ATB,C07AA05,propranolol,2199A
219904ATB,C07AA05,propranolol,2199A
230402ATB,C07AA07,sotalol,2304A
107901ATB,C07AG,Alpha and beta blocking agents,1079A
107902ATB,C07AG,Alpha and beta blocking agents,1079A
110201ATB,C07AG,Alpha and beta blocking agents,1102A
110202ATB,C07AG,Alpha and beta blocking agents,1102A
125001ATB,C07AG02,carvedilol,1250A
125002ATB,C07AG02,carvedilol,1250A
125003ATB,C07AG02,carvedilol,1250A
125004ACR,C07AG02,carvedilol,1250A
125004ATR,C07AG02,carvedilol,1250A
125005ATB,C07AG02,carvedilol,1250A
125006ACR,C07AG02,carvedilol,1250A
125006ATR,C07AG02,carvedilol,1250A
125007ACR,C07AG02,carvedilol,1250A
125007ATR,C07AG02,carvedilol,1250A
125008ACR,C07AG02,carvedilol,1250A
125008ATR,C07AG02,carvedilol,1250A
180230BIJ,C07AG01,labetalol,1802B
180231BIJ,C07AG01,labetalol,1802B
662201ATB,C07AG02,carvedilol,6622A
662202ATB,C07AG02,carvedilol,6622A
262600ATB,C07BB02,metoprolol and thiazides,2626A
469800ATB,C07BB07,bisoprolol and thiazides,4698A
469900ATB,C07BB07,bisoprolol and thiazides,4699A
470000ATB,C07BB07,bisoprolol and thiazides,4700A
262100ATB,C07CB03,atenolol and other diuretics,2621A
460200ATB,C07CB03,atenolol and other diuretics,4602A
262400ATR,C07FB02,metoprolol and felodipine,2624A
145701ACR,C08DB01,diltiazem,1457A
145703ACR,C08DB01,diltiazem,1457A
145704BIJ,C08DB01,diltiazem,1457B
145706ATB,C08DB01,diltiazem,1457A
145707ACR,C08DB01,diltiazem,1457A
145707ATR,C08DB01,diltiazem,1457A
262200ATB,C09BA01,captopril and diuretics,2622A
262300ATB,C09BA01,captopril and diuretics,2623A
440300ATB,C09BA02,enalapril and diuretics,4403A
448600ATB,C09BA05,ramipril and diuretics,4486A
448700ATB,C09BA05,ramipril and diuretics,4487A
499200ATB,C09BA03,lisinopril and diuretics,4992A
499300ATB,C09BA03,lisinopril and diuretics,4993A
556200ATB,C09BA04,perindopril and diuretics,5562A
447100ATB,C09BB05,ramipril and felodipine,4471A
447200ATB,C09BB05,ramipril and felodipine,4472A
262500ATB,C09DA01,losartan and diuretics,2625A
356400ATB,C09DA03,valsartan and diuretics,3564A
378900ATB,C09DA01,losartan and diuretics,3789A
385700ATB,C09DA04,irbesartan and diuretics,3857A
385800ATB,C09DA04,irbesartan and diuretics,3858A
423700ATB,C09DA06,candesartan and diuretics ,4237A
442600ATB,C09DA03,valsartan and diuretics,4426A
443200ATB,C09DA07,telmisartan and diuretics,4432A
443300ATB,C09DA07,telmisartan and diuretics,4433A
460500ATB,C09DA02,eprosartan and diuretics,4605A
486900ATB,C09DA01,losartan and diuretics,4869A
502600ATB,C09DA07,telmisartan and diuretics,5026A
513600ATB,C09DA08,olmesartan medoxomil and diuretics,5136A
522000ATB,C09DA10,fimasartan and diuretics,5220A
526800ATB,C09DA10,fimasartan and diuretics,5268A
673500ATB,C09DA09,azilsartan medoxomil and diuretics,6735A
673600ATB,C09DA09,azilsartan medoxomil and diuretics,6736A
709000ATB,C09DA01,losartan and diuretics,7090A
709100ATB,C09DA01,losartan and diuretics,7091A
721100ATB,C09DA01,losartan and diuretics,7211A
492800ATB,C09DB01,valsartan and amlodipine,4928A
492900ATB,C09DB01,valsartan and amlodipine,4929A
495800ATB,C09DB01,valsartan and amlodipine,4958A
500500ATB,C09DB02,olmesartan medoxomil and amlodipine,5005A
500600ATB,C09DB02,olmesartan medoxomil and amlodipine,5006A
502700ATB,C09DB06,losartan and amlodipine,5027A
503000ATB,C09DB06,losartan and amlodipine,5030A
511500ATB,C09DB04,telmisartan and amlodipine,5115A
511600ATB,C09DB04,telmisartan and amlodipine,5116A
511700ATB,C09DB04,telmisartan and amlodipine,5117A
513900ATB,C09DB06,losartan and amlodipine,5139A
521200ATB,C09DB04,telmisartan and amlodipine,5212A
521300ATB,C09DB04,telmisartan and amlodipine,5213A
521400ATB,C09DB04,telmisartan and amlodipine,5214A
522200ATB,C09DB08,valsartan and lercanidipine,5222A
522300ATB,C09DB08,valsartan and lercanidipine,5223A
522400ATB,C09DB08,valsartan and lercanidipine,5224A
522600ATB,C09DB01,valsartan and amlodipine,5226A
522700ATB,C09DB01,valsartan and amlodipine,5227A
522800ATB,C09DB01,valsartan and amlodipine,5228A
522900ATB,C09DB01,valsartan and amlodipine,5229A
523000ATB,C09DB01,valsartan and amlodipine,5230A
523100ATB,C09DB01,valsartan and amlodipine,5231A
523200ATB,C09DB01,valsartan and amlodipine,5232A
523300ATB,C09DB01,valsartan and amlodipine,5233A
523400ATB,C09DB01,valsartan and amlodipine,5234A
547500ATB,C09DB02,olmesartan medoxomil and amlodipine,5475A
547600ATB,C09DB02,olmesartan medoxomil and amlodipine,5476A
547700ATB,C09DB02,olmesartan medoxomil and amlodipine,5477A
547800ATB,C09DB02,olmesartan medoxomil and amlodipine,5478A
547900ATB,C09DB02,olmesartan medoxomil and amlodipine,5479A
548000ATB,C09DB02,olmesartan medoxomil and amlodipine,5480A
582200ATB,C09DB02,olmesartan medoxomil and amlodipine,5822A
582400ATB,C09DB02,olmesartan medoxomil and amlodipine,5824A
623100ATB,C09DB04,telmisartan and amlodipine,6231A
629400ATB,C09DB02,olmesartan medoxomil and amlodipine,6294A
629500ATB,C09DB02,olmesartan medoxomil and amlodipine,6295A
629600ATB,C09DB02,olmesartan medoxomil and amlodipine,6296A
631300ATB,C09DB02,olmesartan medoxomil and amlodipine,6313A
632800ATB,C09DB02,olmesartan medoxomil and amlodipine,6328A
632900ATB,C09DB02,olmesartan medoxomil and amlodipine,6329A
633000ATB,C09DB02,olmesartan medoxomil and amlodipine,6330A
637400ATB,C09DB06,losartan and amlodipine,6374A
637500ATB,C09DB06,losartan and amlodipine,6375A
637600ATB,C09DB06,losartan and amlodipine,6376A
644800ATB,C09DB04,telmisartan and amlodipine,6448A
